customer_id,age,income,gender,marital_status,marketing_channel,product_category,engagement_score,purchase_history,response
1,,,,,In-Person,Electronics,25.997186411955685,70,1
2,69.0,57130.484160380154,Male,Divorced,In-Person,Electronics,48.73310573970664,45,1
3,46.0,59486.81324963451,Female,Divorced,Social Media,Clothing,42.47563630983369,89,1
4,,,,,In-Person,Clothing,52.670757712949204,64,0
5,60.0,38423.42063910687,Male,Divorced,In-Person,Sports,28.61147849475155,27,1
6,25.0,74142.8099866396,Male,Single,Phone,Electronics,46.29216474371653,83,1
7,38.0,53412.4381359808,Female,Single,Phone,Home,14.537040924716482,40,1
8,56.0,59539.51626067607,Male,Widowed,Email,Sports,70.95504493463056,22,1
9,,,,,Email,Clothing,36.97404704538627,31,1
10,40.0,31710.733002167093,Female,Married,Phone,Home,54.241669293359216,57,1
11,28.0,41458.25338261834,Female,Divorced,Social Media,Beauty,60.46012175027106,38,1
12,28.0,48139.67918915005,Male,Married,Social Media,Beauty,83.6525696227777,81,1
13,41.0,34036.69989773977,Female,Married,Email,Beauty,8.175936835006038,32,1
14,53.0,49852.327870244255,Female,Married,Phone,Home,48.274014945213864,57,1
15,,,,,Social Media,Clothing,89.40720803034152,88,0
16,41.0,33199.28866295192,Male,Divorced,In-Person,Home,32.979750949732754,31,1
17,20.0,60063.668724153125,Male,Divorced,Email,Sports,44.45261721105324,49,1
18,39.0,59056.85780416841,Female,Widowed,Email,Sports,8.507439168912057,50,1
19,19.0,44121.848519197,Male,Married,In-Person,Beauty,75.06733465584017,91,1
20,41.0,34733.5353638457,Female,Single,In-Person,Clothing,8.50215762992692,76,1
21,61.0,34588.94672710984,Male,Married,Email,Sports,63.09780557045451,18,1
22,47.0,44400.97631088029,Female,Married,In-Person,Electronics,37.42451066849124,2,0
23,55.0,59667.77737467937,Male,Divorced,Social Media,Electronics,33.815951803116086,90,1
24,,,,,Email,Beauty,58.550369358007714,16,1
25,38.0,42552.02396777047,Male,Single,Social Media,Beauty,56.766923570842266,42,1
26,50.0,32697.613610228243,Male,Divorced,Email,Beauty,40.54529783257274,28,1
27,29.0,54017.654567995,Male,Married,Social Media,Sports,27.834456784448548,43,1
28,39.0,37646.97544061226,Female,Divorced,Phone,Clothing,50.81687600184123,51,1
29,61.0,42226.210417081966,Female,Married,Social Media,Beauty,26.71025994090208,96,1
30,,,,,In-Person,Home,10.2641328267279,27,0
31,66.0,62406.73142848652,Female,Divorced,Phone,Beauty,79.9152447302912,83,1
32,,,,,Email,Sports,70.23099111991377,33,0
33,59.0,30921.214983309157,Female,Divorced,Social Media,Clothing,8.435096272997544,79,1
34,,,,,Email,Beauty,16.260560374667065,53,0
35,33.0,65939.8593618129,Female,Divorced,Phone,Electronics,10.016667950145909,1,0
36,,,,,In-Person,Beauty,79.07102251994925,91,0
37,,,,,In-Person,Beauty,77.28708631148434,16,1
38,68.0,69391.1793427731,Female,Single,In-Person,Clothing,40.8034620109873,83,1
